ISI (s), ISD (cm), Taps, sigma(s), sigma(v)
0.19, 7, 6, 2, 9
0.18, 2, 6, 2, 9
0.25, 8, 6, 3, 11
0.07, 4, 3, 3, 10
0.21, 5, 3, 2, 9
0.1, 8, 7, 3, 9
0.1, 6, 3, 3, 10
0.22, 3, 3, 3, 10
0.12, 3, 7, 2, 10
0.14, 5, 3, 2, 10
0.05, 4, 3, 2, 11
0.25, 6, 4, 3, 10
0.13, 6, 4, 1, 10
0.15, 8, 4, 3, 11
0.12, 4, 7, 3, 10
0.13, 5, 4, 3, 10
0.09, 6, 3, 3, 10
0.12, 5, 5, 2, 11
0.12, 3, 4, 2, 8
0.13, 6, 3, 2, 10
0.12, 1, 5, 2, 10
0.11, 4, 6, 3, 10
0.17, 4, 5, 2, 8
0.1, 6, 7, 3, 11
0.1, 7, 5, 3, 10
0.07, 8, 7, 3, 10
0.14, 6, 3, 3, 10
0.11, 4, 6, 3, 8
0.18, 5, 2, 3, 11
0.14, 5, 8, 2, 10
0.14, 1, 6, 2, 9
0.15, 3, 7, 2, 10
0.21, 4, 5, 3, 10
0.15, 5, 5, 3, 9
0.18, 5, 4, 2, 10
0.18, 4, 5, 3, 12
0.08, 5, 7, 3, 10
0.23, 8, 5, 3, 10
0.09, 6, 5, 2, 9
0.15, 4, 4, 2, 10
0.14, 5, 7, 3, 10
0.21, 4, 8, 2, 10
0.1, 3, 5, 2, 10
0.05, 3, 6, 3, 10
0.12, 3, 6, 3, 9
0.18, 3, 5, 3, 11
0.16, 5, 6, 3, 9
0.18, 5, 5, 3, 10
0.14, 5, 5, 2, 10
0.03, 4, 4, 3, 11
0.07, 5, 7, 3, 11
0.11, 6, 6, 4, 11
0.19, 4, 2, 2, 10
0.13, 5, 7, 3, 9
0.15, 2, 4, 2, 10
0.16, 6, 7, 3, 10
0.12, 4, 5, 2, 10
0.1, 6, 7, 2, 10
0.09, 5, 9, 3, 10
0.09, 7, 6, 2, 8
0.13, 7, 8, 3, 10
0.15, 6, 7, 2, 10
0.26, 3, 4, 3, 11
0.11, 3, 5, 3, 12
0.11, 2, 6, 2, 10
0.18, 2, 7, 2, 10
0.17, 6, 3, 2, 10
0.02, 1, 2, 2, 10
0.14, 2, 5, 3, 10
0.17, 3, 3, 3, 10
0.04, 8, 4, 2, 8
0.08, 4, 7, 2, 11
0.12, 4, 4, 2, 10
0.07, 4, 6, 2, 10
0.17, 1, 5, 2, 10
0.21, 5, 3, 2, 11
0.25, 7, 6, 2, 10
0.23, 9, 6, 2, 9
0.16, 6, 4, 3, 10
0.17, 7, 7, 3, 10
0.19, -0, 9, 2, 10
0.18, 8, 6, 2, 9
0.21, 2, 3, 2, 10
0.14, 7, 6, 2, 11
0.18, 7, 5, 2, 10
0.15, 5, 3, 3, 10
0.15, 7, 6, 3, 10
0.17, 9, 4, 2, 10
0.19, 7, 4, 2, 9
0.14, 6, 4, 2, 11
0.18, 2, 3, 2, 11
0.23, 6, 5, 3, 10
0.16, 3, 6, 3, 11
0.2, 9, 5, 3, 11
0.06, 4, 4, 2, 10
0.14, 7, 4, 3, 9
0.28, 6, 4, 3, 10
0.08, 4, 4, 2, 10
0.21, 2, 8, 3, 10
0.17, 3, 4, 3, 10
0.16, 6, 3, 3, 10
0.2, 2, 4, 2, 10
0.11, 5, 5, 2, 10
0.09, 7, 6, 3, 10
0.14, 5, 8, 3, 10
0.14, 6, 4, 3, 10
0.13, 6, 5, 3, 10
0.11, 4, 9, 3, 11
0.09, 11, 5, 2, 10
0.12, 3, 4, 2, 9
0.22, 6, 1, 2, 10
0.13, 6, 6, 3, 10
0.11, 5, 3, 3, 11
0.15, 6, 3, 3, 10
0.15, 7, 4, 2, 10
0.16, 3, 6, 2, 10
0.18, 4, 2, 3, 9
0.07, 7, 8, 3, 9
0.11, 10, 5, 2, 10
0.14, 6, 6, 2, 10
0.15, 8, 6, 2, 10
0.22, 7, 3, 2, 10
0.14, 5, 5, 2, 10
0.24, 7, 2, 2, 11
0.17, 1, 4, 3, 10
0.23, 8, 6, 3, 9
0.11, 6, 2, 2, 10
0.23, 6, 3, 2, 10
0.18, 4, 4, 4, 11
0.04, 3, 4, 2, 10
0.2, 4, 5, 2, 10
0.19, 8, 6, 2, 10
0.22, 3, 1, 2, 10
0.26, 7, 4, 2, 10
0.15, 3, 3, 4, 9
0.14, 6, 4, 2, 9
0.18, 6, 8, 2, 9
0.2, 2, 4, 4, 10
0.22, 4, 6, 2, 10
0.11, 6, 3, 3, 12
0.09, 3, 5, 2, 8
0.17, 7, 8, 2, 10
0.21, 2, 6, 3, 9
0.22, 10, 6, 3, 10
0.1, 4, 5, 2, 11
0.12, 8, 5, 3, 10
0.06, 3, 5, 2, 10
0.1, 6, 4, 3, 11
0.11, 5, 4, 2, 12
0.07, 2, 8, 2, 10
0.06, 4, 2, 3, 10
0.16, 3, 4, 3, 12
0.08, 5, 5, 3, 9
0.17, 7, 8, 2, 10
0.13, 5, 6, 3, 11
0.1, 3, 4, 2, 11
0.18, 1, 5, 3, 10
0.26, 5, 2, 2, 9
0.15, 4, 4, 2, 9
0.21, 3, 2, 3, 11
0.05, 7, 2, 2, 9
0.11, 7, 7, 2, 10
0.13, 8, 7, 2, 10
0.2, 6, 6, 2, 10
0.15, 6, 6, 2, 9
0.14, 4, 4, 2, 11
0.1, 8, 6, 2, 12
0.21, 6, 6, 2, 10
0.12, 5, 3, 2, 11
0.19, 4, 6, 3, 11
0.17, 6, 4, 3, 10
0.19, 8, 7, 3, 11
0.11, 3, 2, 2, 11
0.19, 7, 7, 3, 11
0.12, 5, 7, 2, 9
0.11, 6, 6, 2, 9
0.1, 4, 8, 2, 10
0.2, 6, 6, 3, 11
0.11, 5, 5, 2, 10
0.2, 4, 6, 3, 9
0.16, 6, 7, 2, 10
0.21, 5, 5, 3, 11
0.17, 4, 7, 4, 12
0.15, 6, 3, 3, 10
0.2, 4, 5, 2, 11
0.24, 4, 7, 3, 9
0.16, 4, 5, 2, 10
0.26, 6, 5, 2, 10
0.1, 7, 7, 2, 9
0.12, 6, 4, 3, 10
0.16, 4, 4, 2, 10
0.16, 0, 6, 3, 10
0.03, 4, 7, 3, 10
0.23, 6, 3, 2, 10
0.14, 5, 2, 2, 10
0.05, 5, 5, 3, 10
0.17, 5, 5, 2, 9
0.29, 8, 7, 3, 11
0.12, 4, 4, 2, 11
0.21, 5, 8, 2, 10
0.1, 3, 7, 3, 10
0.11, 4, 1, 2, 10
0.2, 6, 7, 4, 9
0.11, 4, 5, 3, 11
0.05, 7, 7, 3, 8
0.16, 4, 7, 4, 10
0.25, 4, 5, 3, 11
0.15, 4, 4, 1, 10
0.18, 2, 5, 3, 10
0.14, 3, 6, 3, 9
0.08, 5, 5, 2, 8
0.19, 2, 3, 2, 10
0.24, 5, 4, 3, 9
0.1, 4, 5, 4, 9
0.14, 3, 7, 3, 9
0.11, 7, 3, 4, 9
0.1, 5, 3, 2, 10
0.2, 5, 8, 3, 10
0.12, 5, 6, 3, 10
0.19, 6, 6, 3, 10
0.06, 4, 6, 3, 9
0.13, 2, 5, 3, 10
0.08, 5, 6, 3, 10
0.29, 4, 3, 3, 10
0.22, 8, 4, 3, 10
0.22, 4, 6, 4, 10
-0.01, 6, 6, 3, 10
0.18, 3, 4, 2, 11
0.17, 5, 6, 1, 12
0.27, 3, 7, 3, 11
0.14, 7, 5, 3, 10
0.14, 5, 6, 3, 10
0.13, 4, 3, 4, 10
0.13, 4, 3, 3, 10
0.12, 4, 3, 3, 10
0.24, 3, 6, 3, 10
0.17, 4, 4, 4, 10
0.21, 4, 3, 2, 11
0.18, 6, 7, 3, 10
0.22, 1, 4, 2, 10
0.26, 2, 4, 4, 10
0.26, 6, 5, 3, 10
0.09, 2, 7, 3, 10
0.19, 9, 7, 2, 10
0.24, 5, 5, 3, 11
0.07, 5, 8, 3, 10
0.23, 8, 2, 3, 11
0.12, 4, 4, 3, 10
0.12, 5, 5, 2, 11
0.07, 5, 5, 3, 9
0.18, 4, 1, 2, 9
0.06, 4, 8, 3, 9
0.13, 1, 2, 3, 10
0.17, 6, 5, 4, 9
0.12, 3, 7, 3, 10
0.18, 6, 9, 3, 10
0.07, 7, 7, 3, 9
0.21, 7, 5, 3, 9
0.16, 7, 5, 3, 11
0.21, 2, 9, 3, 9
0.22, 4, 3, 3, 10
0.13, 5, 1, 4, 11
0.16, 3, 4, 3, 11
0.18, 3, 4, 3, 10
0.19, 3, 4, 3, 10
0.16, 5, 7, 3, 10
0.2, 6, 3, 3, 11
0.08, 5, 1, 3, 10
0.11, 6, 7, 3, 10
0.14, 1, 4, 3, 10
0.28, 3, 4, 3, 9
0.09, 6, 5, 2, 9
0.17, 6, 4, 4, 11
0.1, 2, 7, 4, 10
0.25, 4, 6, 3, 11
0.09, 3, 2, 3, 10
0.28, 2, 6, 2, 9
0.11, 6, 6, 3, 10
0.18, 7, 4, 4, 10
0.1, 5, 4, 3, 10
0.13, 2, 4, 3, 10
0.22, 1, 7, 3, 11
0.19, 3, 8, 3, 9
0.11, 5, 5, 3, 9
0.14, 4, 6, 2, 10
0.22, 4, 6, 3, 10
0.22, 4, 2, 3, 10
0.14, 7, 5, 3, 10
0.12, 2, 3, 2, 12
0.2, 3, 5, 4, 11
0.11, 3, 6, 3, 9
0.14, 4, 7, 3, 9
0.15, 4, 5, 4, 11
0.17, 2, 8, 3, 10
0.13, 1, 5, 4, 10
0.07, 6, 7, 4, 9
0.09, 3, 4, 3, 10
0.14, 5, 1, 2, 9
0.17, 4, 8, 3, 9
0.14, 4, 7, 3, 9
0.13, 6, 5, 3, 8
0.13, 4, 6, 3, 10
0.12, 5, 7, 2, 10
0.13, 7, 7, 3, 11
0.14, 7, 1, 4, 10
0.1, 2, 2, 2, 11
0.22, 4, 7, 3, 10
0.13, 6, 5, 2, 9
0.12, 7, 4, 2, 10
0.08, 3, 3, 3, 9
0.17, 0, 4, 3, 10
0.14, 6, 8, 1, 9
0.23, 4, 11, 3, 8
0.2, 5, 7, 4, 11
0.15, 4, 6, 3, 10
0.24, 6, 9, 2, 9
0.15, 8, 6, 3, 12
0.13, 4, 5, 3, 9
0.2, 2, 2, 4, 10
0.14, 4, 4, 2, 11
0.1, 3, 4, 3, 10
0.16, 4, 9, 3, 10
0.14, 2, 5, 2, 9
0.19, 4, 6, 4, 10
0.16, 5, 7, 3, 9
0.12, 6, 2, 4, 10
0.14, 4, 4, 2, 10
0.08, 8, 6, 3, 10
0.1, 3, 4, 3, 10
0.14, 1, 3, 3, 10
0.12, 4, 6, 4, 10
0.2, 7, 5, 3, 9
0.21, 3, 8, 2, 10
0.17, 4, 4, 3, 11
0.17, 4, 6, 3, 10
0.07, 4, 9, 3, 10
0.14, 5, 4, 4, 8
0.17, 4, 6, 2, 11
0.27, 5, 8, 3, 9
0.1, 4, 0, 4, 11
0.07, 5, 4, 3, 10
0.11, 8, 6, 2, 9
0.21, 3, 5, 4, 10
0.18, 6, 8, 3, 10
0.11, 4, 4, 2, 9
0.22, 5, 6, 3, 10
0.19, 2, 4, 3, 10
0.09, 3, 4, 3, 9
0.22, 2, 8, 3, 9
0.08, 3, 9, 4, 10
0.15, 7, 7, 4, 11
0.14, 6, 6, 4, 10
0.12, 7, 7, 3, 11
0.05, 3, 6, 3, 9
0.16, 4, 2, 3, 9
0.13, 5, 3, 3, 11
0.14, 7, 5, 4, 10
0.09, 6, 3, 4, 11
0.15, 4, 2, 2, 9
0.12, 7, 5, 3, 9
0.17, 1, 7, 3, 10
0.24, 3, 3, 3, 10
0.12, 4, 5, 4, 11
0.18, 6, -1, 3, 10
0.19, 6, 7, 2, 10
0.16, 3, 7, 4, 9
0.14, 5, 3, 3, 10
0.12, 5, 5, 3, 10
0.14, 8, 7, 2, 9
0.03, 4, 4, 1, 9
0.11, 3, 2, 3, 8
0.13, 3, 7, 3, 9
0.15, 4, 5, 4, 10
